year,stage,home_team,away_team,total_matches_diff,win_rate_diff,draw_rate_diff,loss_rate_diff,avg_gf_diff,avg_ga_diff,avg_gd_diff,comp_win_rate_diff,comp_avg_gf_diff,comp_avg_ga_diff,recent_win_rate_diff,recent_avg_gf_diff,recent_avg_ga_diff,form_score_diff,home_win_rate_diff,away_win_rate_diff,neutral_win_rate_diff,wc_appearances_diff,wc_win_rate_diff,wc_avg_gf_diff,wc_avg_ga_diff,wc_best_stage_diff,wc_avg_best_stage_diff,fifa_rank_diff,fifa_points_diff,result
1990,group,Italy,Austria,-39,-0.1817977528089888,0.14269662921348314,0.039101123595505605,-0.48651685393258415,0.2687640449438202,-0.7552808988764045,-0.19412662090007632,-0.4931350114416475,0.26697177726926014,-0.2654545454545454,-0.8172727272727274,0.7827272727272727,-0.19730611961849293,-0.25465116279069766,-0.1111111111111111,-0.20833333333333331,11,0.1283755712505193,0.05941005400914001,-0.6929788117989197,2,0.7380952380952381,-13,122.58999999999992,1
1990,group,United States,Czechoslovakia,121,0.5454545454545454,0.19834710743801653,0.256198347107438,1.8760330578512396,0.8842975206611571,0.9917355371900827,0.6307692307692307,2.076923076923077,0.7230769230769231,0.48484848484848486,1.8181818181818181,0.9848484848484849,0.5446092503987241,0.6304347826086957,0.21052631578947367,0.4,3,-0.12342342342342338,-0.3855855855855854,0.28378378378378377,-1,-0.7159090909090908,-14,125.71000000000004,-1
1990,group,Italy,United States,-71,-0.1654545454545454,0.10165289256198345,0.06380165289256201,-0.5760330578512396,0.39570247933884295,-0.9717355371900827,-0.288663967611336,-0.7874493927125508,0.6453441295546559,-0.20484848484848484,-0.6581818181818182,0.7751515151515151,-0.18667274246221616,-0.2804347826086957,0.17836257309941522,0.016666666666666663,7,0.2989254314555519,0.4610875936177141,-0.8560729404102898,2,1.2575757575757573,-6,44.289999999999964,1
1990,group,Austria,Czechoslovakia,89,0.5617977528089888,0.15730337078651685,0.2808988764044944,1.7865168539325842,1.0112359550561798,0.7752808988764045,0.5362318840579711,1.7826086956521738,1.1014492753623188,0.5454545454545454,1.9772727272727273,0.9772727272727273,0.5552426275550009,0.6046511627906976,0.5,0.625,-1,0.047126436781609216,0.016091954022988686,0.1206896551724137,-1,-0.19642857142857162,-7,47.41000000000008,-1
1990,group,Italy,Czechoslovakia,50,0.38,0.3,0.32,1.3,1.28,0.02,0.34210526315789475,1.2894736842105263,1.368421052631579,0.28,1.16,1.76,0.35793650793650794,0.35,0.3888888888888889,0.4166666666666667,10,0.1755020080321285,0.0755020080321287,-0.572289156626506,1,0.5416666666666665,-20,170.0,1
1990,group,Austria,United States,-32,0.01634320735444339,-0.041043736651499685,0.024700529297056406,-0.08951620391865545,0.12693843439502273,-0.21645463831367817,-0.09453734671125968,-0.29431438127090326,0.3783723522853958,0.06060606060606055,0.15909090909090917,-0.007575757575757569,0.010633377156276769,-0.025783619817998038,0.2894736842105263,0.22499999999999998,-4,0.1705498602050326,0.4016775396085741,-0.16309412861137007,0,0.5194805194805192,7,-78.29999999999995,1
1990,group,Argentina,Cameroon,74,0.5268686868686868,-0.16808080808080808,-0.35878787878787877,1.3701010101010098,-0.4036363636363637,1.7737373737373736,0.39705882352941174,0.8676470588235294,-0.38235294117647056,0.5968137254901961,1.4227941176470589,-0.6740196078431373,0.5723214285714286,0.4583333333333333,0.45714285714285713,0.5966666666666667,10,0.34178321678321677,0.8811188811188811,-0.659965034965035,3,2.0833333333333335,-50,419.80999999999995,-1
1990,group,Russia,Romania,6,0.08173076923076922,0.1971153846153846,-0.27884615384615385,0.41346153846153844,-0.39423076923076916,0.8076923076923077,0.10606060606060605,0.4444444444444444,-0.3282828282828283,0.17857142857142855,0.4285714285714286,-1.1785714285714286,0.09909090909090912,-0.06666666666666671,0.1590909090909091,0.0,4,0.04126984126984129,0.2825396825396824,-0.32380952380952377,1,0.4155844155844157,-12,40.0,-1
1990,group,Argentina,Russia,67,0.37436868686868685,-0.1205808080808081,-0.2537878787878788,0.6351010101010099,-0.7386363636363636,1.3737373737373737,0.29901960784313725,0.18790849673202614,-0.7679738562091503,0.3557422969187675,0.8067226890756303,-0.12044817927170864,0.40511363636363634,0.44166666666666665,0.35,0.68,7,0.11186868686868684,0.016161616161616266,-0.05227272727272725,2,1.0606060606060606,-34,359.80999999999995,1
1990,group,Cameroon,Romania,-1,-0.07076923076923078,0.2446153846153846,-0.17384615384615387,-0.32153846153846155,-0.7292307692307691,0.4076923076923077,0.008021390374331555,-0.23529411764705888,-0.713903743315508,-0.0625,-0.1875,-0.625,-0.06811688311688313,-0.08333333333333337,0.05194805194805194,0.08333333333333333,1,-0.1886446886446886,-0.5824175824175825,0.283882783882784,0,-0.6071428571428572,4,-20.0,1
1990,group,Argentina,Romania,73,0.45609945609945607,0.07653457653457651,-0.5326340326340326,1.0485625485625483,-1.132867132867133,2.181429681429681,0.40508021390374327,0.6323529411764706,-1.0962566844919786,0.5343137254901961,1.2352941176470589,-1.2990196078431373,0.5042045454545454,0.37499999999999994,0.509090909090909,0.68,11,0.15313852813852813,0.2987012987012987,-0.376082251082251,3,1.4761904761904763,-46,399.80999999999995,0
