year,stage,home_team,away_team,home_score,away_score
2018,group,Japan,Poland,0,1
2018,group,Senegal,Colombia,0,1
2022,knockout,Netherlands,United States,3,1
2022,knockout,Argentina,Australia,2,1
2022,knockout,France,Poland,3,1
2022,knockout,England,Senegal,3,0
2022,knockout,Japan,Croatia,1,1
2022,knockout,Brazil,South Korea,4,1
2022,knockout,Morocco,Spain,0,0
2022,knockout,Portugal,Switzerland,6,1
2022,knockout,Croatia,Brazil,1,1
2022,knockout,Netherlands,Argentina,2,2
2022,knockout,Morocco,Portugal,1,0
2022,knockout,England,France,1,2
2022,knockout,Argentina,Croatia,3,0
2022,knockout,France,Morocco,2,0
2022,knockout,Croatia,Morocco,2,1
2022,knockout,Argentina,France,3,3
2022,group,Qatar,Ecuador,0,2
2022,group,Senegal,Netherlands,0,2
2022,group,Qatar,Senegal,1,3
2022,group,Netherlands,Ecuador,1,1
2022,group,Ecuador,Senegal,1,2
2022,group,Netherlands,Qatar,2,0
2022,group,England,Iran,6,2
2022,group,United States,Wales,1,1
2022,group,Wales,Iran,0,2
2022,group,England,United States,0,0
2022,group,Wales,England,0,3
2022,group,Iran,United States,0,1
2022,group,Argentina,Saudi Arabia,1,2
2022,group,Mexico,Poland,0,0
2022,group,Poland,Saudi Arabia,2,0
2022,group,Argentina,Mexico,2,0
2022,group,Poland,Argentina,0,2
2022,group,Saudi Arabia,Mexico,1,2
2022,group,Denmark,Tunisia,0,0
2022,group,France,Australia,4,1
2022,group,Tunisia,Australia,0,1
2022,group,France,Denmark,2,1
2022,group,Australia,Denmark,1,0
2022,group,Tunisia,France,1,0
2022,group,Germany,Japan,1,2
2022,group,Spain,Costa Rica,7,0
2022,group,Japan,Costa Rica,0,1
2022,group,Spain,Germany,1,1
2022,group,Japan,Spain,2,1
2022,group,Costa Rica,Germany,2,4
2022,group,Morocco,Croatia,0,0
2022,group,Belgium,Canada,1,0
2022,group,Belgium,Morocco,0,2
2022,group,Croatia,Canada,4,1
2022,group,Croatia,Belgium,0,0
2022,group,Canada,Morocco,1,2
2022,group,Switzerland,Cameroon,1,0
2022,group,Brazil,Serbia,2,0
2022,group,Cameroon,Serbia,3,3
2022,group,Brazil,Switzerland,1,0
2022,group,Serbia,Switzerland,2,3
2022,group,Cameroon,Brazil,1,0
2022,group,Uruguay,South Korea,0,0
2022,group,Portugal,Ghana,3,2
2022,group,South Korea,Ghana,2,3
2022,group,Portugal,Uruguay,2,0
2022,group,Ghana,Uruguay,0,2
2022,group,South Korea,Portugal,2,1
